@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.read,4,4,5,4,80.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.getCurrentStream,12,16,25,24,96.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.read,4,4,6,5,83.33333333333334,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.readUint64,7,8,26,9,34.61538461538461,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.matches,9,11,20,13,65.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.skipBytesFully,6,7,12,8,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.getDefaultName,7,9,15,11,73.33333333333333,0,1
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.utf16Decode,6,7,8,8,100.0,0,0
@@ org.apache.commons.compress.archivers.sevenz.SevenZFile.assertFitsIntoInt,4,4,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper.getZipEncoding,4,4,5,2,40.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEncodingHelper.isUTF8,11,14,15,6,40.0,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.getLocalFileDataLength,5,5,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.getCentralDirectoryLength,14,17,16,16,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.getLocalFileDataData,8,11,18,10,55.55555555555556,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.getCentralDirectoryData,6,7,18,12,66.66666666666666,0,1
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.parseFromLocalFileData,10,13,24,15,62.5,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.parseFromCentralDirectoryData,8,10,17,16,94.11764705882352,0,0
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.reparseCentralDirectoryData,25,34,47,32,68.08510638297872,0,1
@@ org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField.addSizes,6,7,20,11,55.00000000000001,0,1
@@ org.apache.commons.compress.archivers.zip.UnshrinkingInputStream.<init>,5,5,9,5,55.55555555555556,0,0
@@ org.apache.commons.compress.archivers.zip.UnshrinkingInputStream.addEntry,8,10,25,13,52.0,0,0
@@ org.apache.commons.compress.archivers.zip.UnshrinkingInputStream.partialClear,13,17,47,19,40.42553191489361,0,0
@@ org.apache.commons.compress.archivers.zip.UnshrinkingInputStream.decompressNextSymbol,17,23,31,24,77.41935483870968,0,0
@@ org.apache.commons.compress.archivers.zip.ZipShort.equals,8,10,10,8,80.0,0,0
@@ org.apache.commons.compress.archivers.zip.ResourceAlignmentExtraField.<init>,7,9,12,10,83.33333333333334,0,1
@@ org.apache.commons.compress.archivers.zip.ResourceAlignmentExtraField.getLocalFileDataData,5,5,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ResourceAlignmentExtraField.getCentralDirectoryData,5,5,6,6,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.ResourceAlignmentExtraField.parseFromCentralDirectoryData,7,8,9,9,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.NioZipEncoding.encode,26,36,88,35,39.77272727272727,0,0
@@ org.apache.commons.compress.archivers.zip.NioZipEncoding.encodeFully,7,8,14,9,64.28571428571429,0,0
@@ org.apache.commons.compress.archivers.zip.NioZipEncoding.newEncoder,4,4,11,11,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.NioZipEncoding.newDecoder,4,4,11,11,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEightByteInteger.getBytes,4,4,4,3,75.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEightByteInteger.getValue,5,5,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipEightByteInteger.equals,5,6,7,5,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.zip.CircularBuffer.available,5,5,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.CircularBuffer.get,4,4,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.CircularBuffer.copy,5,5,13,8,61.53846153846154,0,1
@@ org.apache.commons.compress.archivers.zip.BitStream.nextBits,5,6,7,5,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.<init>,5,5,8,8,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.<init>,5,5,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.<init>,8,10,12,9,75.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setMethod,4,4,5,5,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setUnixMode,8,9,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getUnixMode,5,5,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.isUnixSymlink,5,5,2,2,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setAlignment,5,6,7,5,71.42857142857143,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setExtraFields,9,11,12,11,91.66666666666666,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getExtraFields,5,5,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getExtraFields,17,23,39,29,74.35897435897436,0,0
