>> Method, Nduas, Uduas, Rduas, UduaPerc, RduaPerc, Time_s, Time_ms
@@ org.mockito.internal.util.reflection.GenericMetadataSupport$FromClassGenericMetadataSupport.superClassOf,4,2,2,50,50,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer.<init>,6,1,2,16.6666666666667,33.3333333333333,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer.checkNotLocal,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer.checkNotInner,5,3,4,60,80,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer.checkNotInterface,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer.checkNotAbstract,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.reflection.GenericMetadataSupport$WildCardBoundedType.firstBound,4,2,3,50,75,0,0
@@ org.mockito.internal.util.reflection.GenericMetadataSupport$WildCardBoundedType.equals,13,4,6,30.7692307692308,46.1538461538462,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer$ParameterizedConstructorInstantiator.instantiate,5,2,3,40,60,0,0
@@ org.mockito.internal.util.reflection.FieldInitializer$ParameterizedConstructorInstantiator.checkParameterized,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.util.reflection.FieldReader.isNull,2,2,2,100,100,0,0
@@ org.mockito.internal.util.reflection.Fields$InstanceFields.assignedValues,5,1,2,20,40,0,0
@@ org.mockito.internal.util.reflection.Fields$InstanceFields.names,5,1,2,20,40,0,0
@@ org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVarBoundedType.equals,13,4,6,30.7692307692308,46.1538461538462,0,0
@@ org.mockito.internal.junit.FriendlyExceptionMaker.createArgumentsAreDifferentException,8,2,2,25,25,0,0
@@ org.mockito.internal.debugging.LoggingListener.foundUnstubbed,7,2,2,28.5714285714286,28.5714285714286,0,0
@@ org.mockito.internal.debugging.VerboseMockInvocationLogger.printStubInfo,4,2,2,50,50,0,0
@@ org.mockito.internal.debugging.LocationImpl.toString,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.exceptions.stacktrace.ConditionalStackTraceFilter.filter,7,2,2,28.5714285714286,28.5714285714286,0,0
@@ org.mockito.internal.verification.AtLeast.<init>,4,2,2,50,50,0,0
@@ org.mockito.internal.verification.Times.<init>,4,2,2,50,50,0,0
@@ org.mockito.internal.verification.Times.verify,8,2,3,25,37.5,0,0
@@ org.mockito.internal.verification.VerificationOverTimeImpl.handleVerifyException,8,2,2,25,25,0,0
@@ org.mockito.internal.verification.VerificationOverTimeImpl.canRecoverFromFailure,4,3,4,75,100,0,0
@@ org.mockito.internal.verification.NoMoreInteractions.verify,4,2,2,50,50,0,0
@@ org.mockito.internal.verification.NoMoreInteractions.verifyInOrder,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.verification.DefaultRegisteredInvocations.removeLast,7,2,3,28.5714285714286,42.8571428571429,0,0
@@ org.mockito.internal.verification.checkers.MissingInvocationChecker.check,16,3,4,18.75,25,0,0
@@ org.mockito.internal.verification.checkers.AtLeastXNumberOfInvocationsChecker.check,15,2,3,13.3333333333333,20,0,0
@@ org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool.toStringEquals,4,2,3,50,75,0,0
@@ org.mockito.internal.creation.DelegatingMethod.<init>,6,3,5,50,83.3333333333333,0,0
@@ org.mockito.internal.creation.MockSettingsImpl.defaultAnswer,3,2,3,66.6666666666667,100,0,0
@@ org.mockito.internal.creation.MockSettingsImpl.invocationListenersContainsType,7,3,4,42.8571428571429,57.1428571428571,0,0
@@ org.mockito.internal.creation.MockSettingsImpl.hasInvocationListeners,4,2,2,50,50,0,0
@@ org.mockito.internal.creation.MockSettingsImpl.prepareExtraInterfaces,4,2,3,50,75,0,0
@@ org.mockito.internal.creation.settings.CreationSettings.isSerializable,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyCrossClassLoaderSerializationSupport$MockitoMockObjectInputStream.notMarkedAsAMockitoMock,2,2,2,100,100,0,0
@@ org.mockito.internal.creation.bytebuddy.InterceptedInvocation.callRealMethod,6,2,3,33.3333333333333,50,0,0
@@ org.mockito.internal.creation.bytebuddy.CachingMockBytecodeGenerator$CachedBytecodeGenerator.prettifyFailure,10,2,2,20,20,0,0
@@ org.mockito.internal.creation.bytebuddy.MockMethodInterceptor.createMockitoMethod,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.creation.bytebuddy.MockBytecodeGenerator.isComingFromJDK,8,6,8,75,100,0,0
@@ org.mockito.internal.creation.bytebuddy.MockBytecodeGenerator.isComingFromSealedPackage,4,3,4,75,100,0,0
@@ org.mockito.internal.creation.bytebuddy.MockBytecodeGenerator.isComingFromSignedJar,2,2,2,100,100,0,0
@@ org.mockito.internal.creation.bytebuddy.MockMethodInterceptor$ForEquals.doIdentityEquals,4,2,2,50,50,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker.mockWithFeaturesFrom,5,2,3,40,60,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker.describeClass,3,2,3,66.6666666666667,100,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker.describeClass,3,2,3,66.6666666666667,100,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker.getHandler,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker.asInternalMockHandler,3,2,2,66.6666666666667,66.6666666666667,0,0
@@ org.mockito.internal.creation.instance.ConstructorInstantiator.newInstance,8,2,2,25,25,0,0
@@ org.mockito.internal.creation.instance.InstantiatorProvider.getInstantiator,4,2,2,50,50,0,0
@@ org.mockito.internal.stubbing.InvocationContainerImpl.addAnswer,10,2,3,20,30,0,0
@@ org.mockito.internal.stubbing.InvocationContainerImpl.hasAnswersForStubbing,4,2,2,50,50,0,0
@@ org.mockito.internal.stubbing.StubbedInvocationMatcher.answer,8,2,3,25,37.5,0,0
@@ org.mockito.internal.stubbing.StubbedInvocationMatcher.wasUsed,4,2,2,50,50,0,0
@@ org.mockito.internal.stubbing.answers.MethodInfo.isVoid,6,2,2,33.3333333333333,33.3333333333333,0,0
@@ org.mockito.internal.stubbing.answers.MethodInfo.isAbstract,4,2,2,50,50,0,0
@@ org.mockito.internal.stubbing.answers.ThrowsException.answer,9,2,2,22.2222222222222,22.2222222222222,0,0
@@ org.mockito.internal.stubbing.answers.AnswersValidator.validateReturnArgIdentity,9,2,2,22.2222222222222,22.2222222222222,0,0
@@ org.mockito.internal.stubbing.answers.AnswersValidator.validateMockingConcreteClass,4,2,2,50,50,0,0
