@@ Method, Nodes, Edges, DUAs, UDUAs, RDUAs, UPerc, RPerc, Time_s, Time_ms
@@ org.mockito.internal.invocation.InvocationMatcher.hasSimilarMethod,19,26,22,12,17,54.54545454545454,77.27272727272727,0,4
@@ org.mockito.internal.invocation.InvocationMatcher.hasSameMethod,11,15,28,8,16,28.57142857142857,57.14285714285714,0,4
@@ org.mockito.internal.invocation.InvocationMatcher.captureArgumentsFrom,9,11,23,5,9,21.73913043478261,39.130434782608695,0,5
@@ org.mockito.internal.invocation.InvocationMatcher.isVarargMatcher,4,4,5,2,2,40.0,40.0,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.isVariableArgument,8,11,14,5,8,35.714285714285715,57.14285714285714,0,1
@@ org.mockito.internal.invocation.InvocationMatcher.createFrom,5,5,2,1,2,50.0,100.0,0,0
@@ org.mockito.internal.invocation.finder.AllInvocationsFinder.find,5,5,2,1,2,50.0,100.0,0,1
@@ org.mockito.internal.handler.InvocationNotifierHandler.notifyMethodCall,5,5,2,1,1,50.0,50.0,0,0
@@ org.mockito.internal.handler.InvocationNotifierHandler.notifyMethodCallException,5,5,2,1,1,50.0,50.0,0,1
@@ org.mockito.internal.handler.NullResultGuardian.handle,5,6,6,3,5,50.0,83.33333333333334,0,1
@@ org.mockito.internal.handler.MockHandlerImpl.handle,10,13,40,6,9,15.0,22.5,0,3
@@ org.mockito.internal.handler.MockHandlerImpl.createVerificationData,4,4,6,2,3,33.33333333333333,50.0,0,0
@@ org.mockito.internal.reporting.SmartPrinter.<init>,6,7,9,3,5,33.33333333333333,55.55555555555556,0,1
@@ org.mockito.internal.reporting.Pluralizer.pluralize,5,5,3,2,3,66.66666666666666,100.0,0,0
@@ org.mockito.internal.reporting.PrintSettings.print,6,8,11,4,8,36.36363636363637,72.72727272727273,0,1
@@ org.mockito.internal.configuration.MockAnnotationProcessor.process,9,11,16,6,7,37.5,43.75,0,2
@@ org.mockito.internal.configuration.InjectingAnnotationEngine.processInjectMocks,5,5,8,2,3,25.0,37.5,0,1
@@ org.mockito.internal.configuration.InjectingAnnotationEngine.processIndependentAnnotations,5,5,10,2,3,20.0,30.0,0,1
@@ org.mockito.internal.configuration.InjectingAnnotationEngine.injectMocks,5,5,12,2,4,16.666666666666664,33.33333333333333,0,1
@@ org.mockito.internal.configuration.DefaultAnnotationEngine.forAnnotation,4,4,10,2,2,20.0,20.0,0,1
@@ org.mockito.internal.configuration.DefaultAnnotationEngine.process,10,12,10,2,4,20.0,40.0,0,3
@@ org.mockito.internal.configuration.DefaultAnnotationEngine.throwIfAlreadyAssigned,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.mockito.internal.configuration.GlobalConfiguration.<init>,4,4,4,2,2,50.0,50.0,0,1
@@ org.mockito.internal.configuration.GlobalConfiguration.createConfig,4,4,4,2,2,50.0,50.0,0,1
@@ org.mockito.internal.configuration.CaptorAnnotationProcessor.process,4,4,4,2,2,50.0,50.0,0,1
@@ org.mockito.internal.configuration.SpyAnnotationEngine.process,13,17,18,5,8,27.77777777777778,44.44444444444444,0,4
@@ org.mockito.internal.configuration.SpyAnnotationEngine.assertNotInterface,7,8,7,4,5,57.14285714285714,71.42857142857143,0,0
@@ org.mockito.internal.configuration.SpyAnnotationEngine.newSpyInstance,11,15,26,7,11,26.923076923076923,42.30769230769231,0,1
@@ org.mockito.internal.configuration.SpyAnnotationEngine.assertNoIncompatibleAnnotations,7,8,5,2,2,40.0,40.0,0,1
@@ org.mockito.internal.configuration.plugins.PluginLoader.loadPlugin,4,4,5,2,2,40.0,40.0,0,0
@@ org.mockito.internal.configuration.plugins.PluginLoader.loadImpl,6,7,13,3,7,23.076923076923077,53.84615384615385,0,1
@@ org.mockito.internal.configuration.plugins.PluginFinder.findPluginClass,9,11,12,3,4,25.0,33.33333333333333,0,2
@@ org.mockito.internal.configuration.plugins.PluginFileReader.readPluginClass,7,8,3,2,2,66.66666666666666,66.66666666666666,0,1
@@ org.mockito.internal.configuration.plugins.PluginFileReader.stripCommentAndWhitespace,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.mockito.internal.configuration.injection.PropertyAndSetterInjection.processInjection,5,5,13,2,3,15.384615384615385,23.076923076923077,0,1
@@ org.mockito.internal.configuration.injection.PropertyAndSetterInjection.injectMockCandidatesOnFields,7,8,16,3,6,18.75,37.5,0,1
@@ org.mockito.internal.configuration.injection.MockInjection$OngoingMockInjection.apply,5,5,5,1,1,20.0,20.0,0,0
@@ org.mockito.internal.configuration.injection.SpyOnInjectedFieldsHandler.processInjection,8,10,12,4,6,33.33333333333333,50.0,0,1
@@ org.mockito.internal.configuration.injection.MockInjectionStrategy.thenTry,5,5,10,2,3,20.0,30.0,0,1
@@ org.mockito.internal.configuration.injection.MockInjectionStrategy.process,4,4,12,2,2,16.666666666666664,16.666666666666664,0,1
@@ org.mockito.internal.configuration.injection.MockInjectionStrategy.relayProcessToNextStrategy,6,7,14,3,4,21.428571428571427,28.57142857142857,0,1
@@ org.mockito.internal.configuration.injection.ConstructorInjection$SimpleArgumentResolver.resolveTypeInstances,5,5,3,1,2,33.33333333333333,66.66666666666666,0,0
@@ org.mockito.internal.configuration.injection.ConstructorInjection$SimpleArgumentResolver.objectThatIsAssignableFrom,7,8,5,2,2,40.0,40.0,0,0
@@ org.mockito.internal.configuration.injection.PropertyAndSetterInjection$1.isOut,6,7,4,3,4,75.0,100.0,0,0
@@ org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter.filterCandidate,9,11,23,3,4,13.043478260869565,17.391304347826086,0,2
@@ org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter.filterCandidate,7,8,11,2,3,18.181818181818183,27.27272727272727,0,1
@@ org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter.filterCandidate,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter$1.thenInject,4,4,10,2,3,20.0,30.0,0,0
@@ org.mockito.internal.configuration.injection.scanner.MockScanner.scan,7,8,7,2,4,28.57142857142857,57.14285714285714,0,1
@@ org.mockito.internal.configuration.injection.scanner.MockScanner.preparedMock,6,7,13,3,4,23.076923076923077,30.76923076923077,0,0
@@ org.mockito.internal.configuration.injection.scanner.MockScanner.isAnnotatedByMockOrSpy,7,9,6,4,6,66.66666666666666,100.0,0,0
@@ org.mockito.internal.configuration.injection.scanner.MockScanner.isMockOrSpy,6,7,12,3,4,25.0,33.33333333333333,0,1
@@ org.mockito.internal.configuration.injection.scanner.InjectMocksScanner.scan,7,8,6,2,3,33.33333333333333,50.0,0,1
@@ org.mockito.internal.configuration.injection.scanner.InjectMocksScanner.assertNoAnnotations,7,8,5,2,2,40.0,40.0,0,1
@@ org.mockito.internal.progress.ThreadSafeMockingProgress.threadSafely,4,4,4,2,3,50.0,75.0,0,0
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.pullLocalizedMatchers,4,4,6,2,2,33.33333333333333,33.33333333333333,0,1
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.popLastArgumentMatchers,5,5,11,2,4,18.181818181818183,36.36363636363637,0,1
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.assertMatchersFoundFor,4,4,7,2,2,28.57142857142857,28.57142857142857,0,0
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.assertIncorrectUseOfAdditionalMatchers,4,4,10,2,2,20.0,20.0,0,1
@@ org.mockito.internal.progress.ArgumentMatcherStorageImpl.validateState,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.pullVerificationMode,4,4,6,2,2,33.33333333333333,33.33333333333333,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.validateState,4,4,7,2,2,28.57142857142857,28.57142857142857,0,1
@@ org.mockito.internal.progress.MockingProgressImpl.validateMostStuff,4,4,8,2,3,25.0,37.5,0,0
@@ org.mockito.internal.progress.MockingProgressImpl.mockingStarted,4,4,9,2,3,22.22222222222222,33.33333333333333,0,0
@@ org.mockito.internal.progress.HandyReturnValues.returnFor,4,4,3,2,2,66.66666666666666,66.66666666666666,0,0
@@ org.mockito.internal.progress.HandyReturnValues.returnFor,5,5,4,2,3,50.0,75.0,0,0
@@ org.mockito.internal.util.Decamelizer.decamelizeMatcher,6,7,7,3,4,42.857142857142854,57.14285714285714,0,1
@@ org.mockito.internal.util.Decamelizer.decamelizeClassName,7,8,9,2,4,22.22222222222222,44.44444444444444,0,1
@@ org.mockito.internal.util.MockUtil.isTypeMockable,6,7,4,3,4,75.0,100.0,0,0
@@ org.mockito.internal.util.MockUtil.createMock,4,4,5,2,3,40.0,60.0,0,0
@@ org.mockito.internal.util.MockUtil.getMockHandler,6,7,9,3,4,33.33333333333333,44.44444444444444,0,1
@@ org.mockito.internal.util.MockUtil.isSpy,6,7,10,3,4,30.0,40.0,0,0
@@ org.mockito.internal.util.MockUtil.isMockitoMock,5,5,4,2,2,50.0,50.0,0,0
@@ org.mockito.internal.util.MockUtil.maybeRedefineMockName,5,6,9,3,4,33.33333333333333,44.44444444444444,0,0
@@ org.mockito.internal.util.MockCreationValidator.validateType,4,4,7,2,2,28.57142857142857,28.57142857142857,0,1
@@ org.mockito.internal.util.MockCreationValidator.validateExtraInterfaces,9,11,8,3,4,37.5,50.0,0,1
@@ org.mockito.internal.util.MockCreationValidator.validateMockedType,7,9,10,4,6,40.0,60.0,0,1
@@ org.mockito.internal.util.MockCreationValidator.validateDelegatedInstance,7,9,10,4,6,40.0,60.0,0,1
@@ org.mockito.internal.util.MockCreationValidator.validateSerializable,7,10,9,5,8,55.55555555555556,88.88888888888889,0,2
@@ org.mockito.internal.util.MockCreationValidator.validateConstructorUse,5,6,7,3,4,42.857142857142854,57.14285714285714,0,0
@@ org.mockito.internal.util.Checks.checkNotNull,4,4,4,2,2,50.0,50.0,0,1
@@ org.mockito.internal.util.Checks.checkItemsNotNull,5,5,2,1,2,50.0,100.0,0,1
